Row,Seasonal,TotalCustomers,pHH1,pHH2,pHH3,pHH4,pHH5,pHH6
Alger Delta,0.263946122798579,0.18669482515028,0.20641479830146,0.189131203810911,0.18669482515028,0.182556257874454,0.181880820147581,0.180191163178256
Cloverland,0.240057892054717,0.180539850183302,0.196105113571267,0.18246984703552,0.180539850183302,0.177280765597374,0.176740983822319,0.175416223311178
Xcel,0.250493440771599,0.18325402061637,0.200666437330308,0.185415773481911,0.18325402061637,0.179613468598414,0.179007483855043,0.176041711010085
Municipal,0.250493440771599,0.18325402061637,0.200666437330308,0.185415773481911,0.18325402061637,0.179613468598414,0.179007483855043,0.176041711010085
OCREA,0.250493440771599,0.18325402061637,0.200666437330308,0.185415773481911,0.18325402061637,0.179613468598414,0.179007483855043,0.176041711010085
UPPCO,0.250493440771599,0.18325402061637,0.200666437330308,0.185415773481911,0.18325402061637,0.179613468598414,0.179007483855043,0.176041711010085
WE,0.250493440771599,0.18325402061637,0.200666437330308,0.185415773481911,0.18325402061637,0.179613468598414,0.179007483855043,0.176041711010085
WPSC,0.250493440771599,0.18325402061637,0.200666437330308,0.185415773481911,0.18325402061637,0.179613468598414,0.179007483855043,0.176041711010085
